feature,importance
bus_frequency_per_hour,0.08607442155324603
traffic_factor,0.07696474916457302
delay_rolling_avg_3,0.07223469721643788
headway_change_rate,0.07080247859284343
prev_delay_2,0.06791044456808067
delay_momentum,0.06623394762884828
dwell_time,0.06523668933183759
headway,0.06247161494887858
waiting_passengers,0.06109033250597593
prev_delay_1,0.058797085207299975
distance_to_next_stop,0.05827382897653662
passenger_load,0.05482681619860003
signal_delay,0.05385134091590476
total_delay,0.05176565615308316
traffic_delay,0.05034082385215537
num_signals,0.019815817300192953
demand_level_encoded,0.013069932818302885
congestion_encoded,0.010239323067202854
